city,size,lockdown
beijing,a,2020-02-10
guangzhou,a,2020-02-07
nanjing,a,2020-02-04
shanghai,a,2020-02-10
tianjin,a,2020-02-06
wuhan,a,2020-01-23
baotou,b,2020-02-13
dalian,b,2020-02-05
hangzhou,b,2020-02-04
nanchang,b,2020-02-05
tangshan,b,2020-01-28
xuzhou,b,2020-02-04
benxi,c,2020-02-05
changzhou,c,2020-02-04
dandong,c,2020-02-05
fuxin,c,2020-02-05
hefei,c,2020-02-05
wuxi,c,2020-02-03
cangzhou,d,2020-02-09
chifeng,d,2020-02-13
huludao,d,2020-02-05
panjin,d,2020-02-05
yangzhou,d,2020-02-05
yibin,d,2020-02-06
chuzhou,e,2020-02-07
fangchenggang,e,2020-02-08
ganzhou,e,2020-02-06
jinzhou,e,2020-02-05
suzhou,e,2020-02-07
xianning,e,2020-01-24
